Manufacturer Name,Model Number,Description,Maximum Continuous Output Power at Unity Power Factor,Nominal Voltage,Weighted Efficiency,Night Tare Loss,Power Rating. Continuous. 40 deg C,"Night
Tare Loss. 40 deg C",Voltage Minimum,Voltage Nominal,Voltage Maximum,Power Level,Power Level,Power Level,Power Level,Power Level,Power Level,Efficiency Vmin.,Efficiency Vmin.,Efficiency Vmin.,Efficiency Vmin.,Efficiency Vmin.,Efficiency Vmin.,Efficiency Vmin.,Efficiency Vnom,Efficiency Vnom,Efficiency Vnom,Efficiency Vnom,Efficiency Vnom,Efficiency Vnom,Efficiency Vnom,Efficiency Vmax,Efficiency Vmax,Efficiency Vmax,Efficiency Vmax,Efficiency Vmax,Efficiency Vmax,Efficiency Vmax
,,,(kW),(Vac),(%),(W),(kW),(W),(Vdc),(Vdc),(Vdc),10% (kW),20% (kW),30% (kW),50% (kW),75% (kW),100% (kW),10% Pwr Lvl (%),20% Pwr Lvl (%),30% Pwr Lvl (%),50% Pwr Lvl (%),75% Pwr Lvl (%),100% Pwr Lvl (%),Wtd (%),10% Pwr Lvl (%),20% Pwr Lvl (%),30% Pwr Lvl (%),50% Pwr Lvl (%),75% Pwr Lvl (%),100% Pwr Lvl (%),Wtd (%),10% Pwr Lvl (%),20% Pwr Lvl (%),30% Pwr Lvl (%),50% Pwr Lvl (%),75% Pwr Lvl (%),100% Pwr Lvl (%),Wtd (%)
Fortress Power LLC,FP-ENVY-12K [240V],12 kW. 240 Vac Grid Support Hybrid Utility Interactive Inverter,11.93256,240,97,14.29,,,230,360,480,1.193256,2.386512,3.579768,5.96628,8.94942,11.93256,95.02461324,96.09808566,96.53961038,96.49582192,96.12595562,95.90053688,96.19654799,96.59250222,97.19416049,97.51016782,97.3417097,97.23649914,97.10365026,97.25691435,95.81725156,97.00767822,97.4220601,97.26406569,97.13853106,97.03528522,97.1343607
FOXESS CO.. LTD,H1-3.8-US [240V],3.8 kW. 240 Vac. Bi-directional. Transformerless Grid Support Utility Interactive Inverter,3.713042,240,96,27.23,,,204,380,480,0.3713042,0.7426084,1.1139126,1.856521,2.7847815,3.713042,88.75706601,93.13189894,94.74026703,95.8237777,96.41539836,96.56256227,95.62699219,90.64597044,94.55683078,95.5930342,96.52025797,97.31277753,97.20100836,96.52992114,87.33780537,93.6470265,95.42730424,96.41418693,97.32820429,97.49614938,96.33287505
FOXESS CO.. LTD,AC1-3.8-US [240V],3.8 kW. 240 Vac Bi-directional. Transformerless Grid Support Utility Interactive Inverter,3.737954,240,95.5,27.23,,,95,360,460,0.3737954,0.7475908,1.1213862,1.868977,2.8034655,3.737954,86.3321529,92.18329476,93.82147501,95.11522837,95.60330238,95.66053931,94.74800304,87.97817796,93.50083692,95.03129997,96.3382082,97.00313976,97.26045942,96.10363573,85.21066233,92.23727824,94.29581121,95.81337079,96.60651962,96.92135808,95.50411892
FOXESS CO.. LTD,AC1-5.7-US [240V],5.7 kW. 240 Vac Bi-directional. Transformerless Grid Support Utility Interactive Inverter,5.723476,240,96.5,27.23,,,140,360,460,0.5723476,1.1446952,1.7170428,2.861738,4.292607,5.723476,89.66597729,94.20660153,95.28587184,96.15234689,96.40180115,96.43225309,95.8378339,91.40089884,95.14780878,96.15143605,97.03133951,97.34589109,97.42470029,96.79273731,89.88214924,94.41115037,95.64896447,96.62007109,97.06438635,97.19901653,96.38800975
FOXESS CO.. LTD,H1-5.7-US [240V],5.7 kW. 240 Vac. Bi-directional. Transformerless Grid Support Utility Interactive Inverter,5.74818,240,97,27.23,,,204,380,480,0.574818,1.149636,1.724454,2.87409,4.311135,5.74818,90.88079494,94.80984874,95.76323535,96.47528617,96.73855874,96.70302669,96.23371004,91.5018411,95.64648115,97.21684042,97.63785731,97.86799984,97.77096155,97.37095658,89.8373196,95.63401484,96.46440309,97.20916817,97.4788105,97.59503677,96.90836861
FOXESS CO.. LTD,AC1-7.6-US [240V],7.6 kW. 240 Vac Bi-directional. Transformerless Grid Support Utility Interactive Inverter,7.564112,240,96.5,27.23,,,190,360,460,0.7564112,1.5128224,2.2692336,3.782056,5.673084,7.564112,91.31180694,95.21426903,96.07391908,96.68760104,96.84193856,96.77969684,96.41166451,93.58475074,95.9114066,96.69028724,97.28207773,97.42468215,97.37950542,97.07508796,91.92713925,95.2615193,96.18010203,96.9514501,97.18842064,97.17682668,96.71028257
FOXESS CO.. LTD,H1-7.6-US [240V],7.6 kW. 240 Vac. Bi-directional. Transformerless Grid Support Utility Interactive Inverter,7.72034,240,97,27.23,,,271,380,480,0.772034,1.544068,2.316102,3.86017,5.790255,7.72034,93.49961605,95.79985986,96.54072098,97.04824036,97.1100957,96.89744126,96.80821741,93.87215398,96.83057465,97.07523253,97.4310576,97.29299916,97.66793303,97.1546511,92.41257578,96.31517832,97.06563691,97.61009525,97.73104432,97.51492102,97.33145792
FOXESS CO.. LTD,AC1-9.6-US [240V],9.6 kW. 240 Vac Bi-directional. Transformerless Grid Support Utility Interactive Inverter,9.41861,240,97,27.23,,,235,360,460,0.941861,1.883722,2.825583,4.709305,7.0639575,9.41861,93.06570484,96.00251195,96.60899541,97.0186957,97.0386788,96.90680118,96.76559916,94.05230448,96.37424482,97.00600993,97.39163438,97.38903237,97.25827805,97.15286989,93.13088853,95.80751171,96.57669241,97.11735288,97.18174085,97.03686176,96.85762406
FOXESS CO.. LTD,H1-9.6-US [240V],9.6 kW. 240 Vac. Bi-directional. Transformerless Grid Support Utility Interactive Inverter,9.609126,240,97,27.23,,,257,380,480,0.9609126,1.9218252,2.8827378,4.804563,7.2068445,9.609126,94.01511112,96.18000583,96.73016025,97.04588407,96.98536202,96.78406215,96.7983046,95.64406757,97.14702992,97.16169176,97.47124879,97.32241999,97.1525119,97.24998765,94.70561333,96.55016245,97.25612551,97.57419554,97.64052118,97.26192885,97.38962145
FOXESS CO.. LTD,AC1-11.4-US [240V],11.4 kW. 240 Vac. Bi-directional. Transformerless Grid Support Utility Interactive Inverter,11.43969,240,97,27.23,,,280,360,460,1.143969,2.287938,3.431907,5.719845,8.5797675,11.43969,94.74280012,96.73863075,97.12875432,97.3109011,97.20845243,97.02987731,97.08935695,95.19378162,96.96600862,97.34930323,97.50598266,97.40639634,97.16566015,97.29789751,94.40929555,96.44033295,96.99490331,97.2930947,97.22014429,96.88801069,97.04040376
