Manufacturer Name,Model Number,Technology,Description,Nameplate Energy Capacity,Maximum Continuous Discharge Rate2
,,,,(kWh),(kW)
SimpliPhi Power. Inc.,AmpliPHI3.8-48,Lithium Iron Phosphate,1.9 kW. 3.8 kWh. lithium iron phosphate (LFP) battery,3.8,1.9
SimpliPhi Power. Inc.,PHI3.8 24V 60 VTE BRK,Lithium Iron Phosphate,1.9 kW. 3.8 kWh. 24V lithium ion (LFP) battery,3.8,1.9
SimpliPhi Power. Inc.,PHI3.8 48V 60 VTE BRK,Lithium Iron Phosphate,1.9 kW. 3.8 kWh. 48V lithium ion (LFP) battery,3.8,1.9
SimpliPhi Power. Inc.,SPHI-B-4.9,Lithium Iron Phosphate,2.48 kW. 4.9 kWh lithium iron phosphate (LFP) battery,4.9,2.48
SolarEdge Technologies Ltd.,BAT-10K1P,Lithium-Ion,5 kW. 9.7 kWh lithium ion battery system,9.7,5
SolaX Power Network Technology (Zhe jiang) Co.. Ltd.,T-BAT H 10.0,Lithium Iron,5.5 kW. 10 kWh. lithium iron battery system,10,5.5
SolaX Power Network Technology (Zhe jiang) Co.. Ltd.,T-BAT H 15.0,Lithium Iron,8.3 kW. 15 kWh. lithium iron battery system,15,8.3
SolaX Power Network Technology (Zhe jiang) Co.. Ltd.,T-BAT H 20.0,Lithium Iron,11.1 kW. 20 kWh. lithium iron battery system,20,11.1
StackRack Battery Systems. LLC,SR5K-UL,Lithium Iron Phosphate,2.56 kW. 5.12 kWh. lithium iron phosphate battery,5.12,2.56
Stored Energy Inc,PF5-LFP09600-2A01,Lithium Iron Phosphate,9.6 kW. 9.6 kWh lithium iron battery,9.6,9.6
Stored Energy Inc,PF5-LFP14400-2A01,Lithium Iron Phosphate,14.4 kW. 14.4 kWh lithium iron battery,14.4,14.4
Stored Energy Inc,C1-LFP19200-1A01,Lithium Iron Phosphate,14.4 kW. 19.2 kWh lithium iron phosphate battery,19.2,14.4
Stored Energy Inc,PF5-LFP19200-2A01,Lithium Iron Phosphate,14.4 kW. 19.2 kWh lithium iron battery,19.2,14.4
Stored Energy Inc,PF5-LFP24000-2A01,Lithium Iron Phosphate,14.4 kW. 24 kWh lithium iron battery,24,14.4
Stored Energy Inc,PF5-LFP28800-2A01,Lithium Iron Phosphate,14.4 kW. 28.8 kWh lithium iron battery,28.8,14.4
Stored Energy Inc,PF5-LFP33600-2A01,Lithium Iron Phosphate,14.4 kW. 33.6 kWh lithium iron battery,33.6,14.4
Stored Energy Inc,PF5-LFP38400-2A01,Lithium Iron Phosphate,14.4 kW. 38.4 kWh lithium iron battery,38.4,14.4
Storz Power LLC,SP5.12-LFPv4,Lithium Iron Phosphate,5.12 kW. 5.12 kWh. 100 Ah lithium iron phosphate battery,5.12,5.12
Tigo Energy. Inc,TSB-7-US,Lithium Iron Phosphate,3.5 kW. 6.6 kWh lithium iron battery system,6.6,3.5
Tigo Energy. Inc,TSB-10-US,Lithium Iron Phosphate,5.2 kW. 9.9 kWh lithium iron battery system,9.9,5.2
Tigo Energy. Inc,TSB-14-US,Lithium Iron Phosphate,5.2 kW. 13.2 kWh lithium iron battery system,13.2,5.2
Tigo Energy. Inc,TSB-17-US,Lithium Iron Phosphate,5.2 kW. 16.5 kWh lithium iron battery system,16.5,5.2
Tigo Energy. Inc,TSB-20-US,Lithium Iron Phosphate,5.2 kW. 19.8 kWh lithium iron battery system,19.8,5.2
TROES Corp.,TR-S138-6P9,Lithium Iron Phosphate,55.3 kW. 55.3 kWh. lithium iron phosphate battery,55.3,55.3
TROES Corp.,TR-S138-7P9,Lithium Iron Phosphate,64.51 kW. 64.51 kWh. lithium iron phosphate battery,64.51,64.51
TROES Corp.,TR-S138-8P9,Lithium Iron Phosphate,73.73 kW. 73.73 kWh. lithium iron phosphate battery,73.73,73.73
Yotta Energy. Inc.,SL-1000,Lithium Iron Phosphate,675 W. 1 kWh lithium iron phsphate battery,1,0.675
